tag_id,stap_id,start,end,known_lat,known_lon,include
24EA,3,2019-09-16T23:45:00Z,2019-09-17T03:45:00Z,,,TRUE
24EA,4,2019-09-17T08:45:00Z,2019-09-17T21:15:00Z,,,TRUE
24EA,5,2019-09-17T23:45:00Z,2019-09-19T20:15:00Z,,,TRUE
24EA,6,2019-09-19T22:45:00Z,2019-10-16T17:15:00Z,,,TRUE
24EA,7,2019-10-17T00:45:00Z,2019-10-18T17:15:00Z,,,TRUE
24EA,8,2019-10-19T05:45:00Z,2019-10-19T17:15:00Z,,,TRUE
24EA,9,2019-10-20T06:15:00Z,2019-10-20T17:45:00Z,,,TRUE
24EA,10,2019-10-21T06:15:00Z,2019-10-21T17:45:00Z,,,TRUE
24EA,11,2019-10-22T01:15:00Z,2019-10-22T18:15:00Z,,,TRUE
24EA,12,2019-10-22T23:45:00Z,2019-10-26T18:45:00Z,,,TRUE
24EA,13,2019-10-26T22:45:00Z,2019-10-28T18:15:00Z,,,TRUE
24EP,1,2019-07-19T23:45:00Z,2019-09-11T18:15:00Z,44.95177,6.96333,TRUE
24EP,2,2019-09-12T02:15:00Z,2019-09-12T23:45:00Z,,,TRUE
24EP,3,2019-09-13T01:15:00Z,2019-09-13T02:45:00Z,,,TRUE
24EP,4,2019-09-13T04:15:00Z,2019-09-14T18:45:00Z,,,TRUE
24EP,5,2019-09-15T01:15:00Z,2019-09-15T20:15:00Z,,,TRUE
24EP,6,2019-09-15T22:45:00Z,2019-10-02T17:15:00Z,,,TRUE
24EP,7,2019-10-03T04:45:00Z,2019-10-03T17:15:00Z,,,TRUE
24EP,8,2019-10-04T05:15:00Z,2019-10-04T17:15:00Z,,,TRUE
24EP,9,2019-10-05T04:45:00Z,2019-10-05T17:15:00Z,,,TRUE
24EP,10,2019-10-05T23:15:00Z,2019-10-08T19:15:00Z,,,TRUE
24EP,11,2019-10-09T01:45:00Z,2019-10-09T23:15:00Z,,,TRUE
24EP,12,2019-10-10T00:45:00Z,2019-10-11T13:15:00Z,,,TRUE
24IS,1,2019-07-31T23:45:00Z,2019-08-25T02:15:00Z,46.554927,8.692212,TRUE
24IS,2,2019-08-25T03:15:00Z,2019-09-15T17:15:00Z,,,TRUE
24IS,3,2019-09-16T01:45:00Z,2019-09-16T17:45:00Z,,,TRUE
24IS,4,2019-09-17T11:15:00Z,2019-09-17T17:45:00Z,,,TRUE
24IS,5,2019-09-17T22:15:00Z,2019-09-28T17:15:00Z,,,TRUE
24IS,6,2019-09-29T05:15:00Z,2019-09-29T17:45:00Z,,,TRUE
24IS,7,2019-09-30T05:45:00Z,2019-09-30T17:45:00Z,,,TRUE
24IS,8,2019-10-01T03:45:00Z,2019-10-02T18:15:00Z,,,TRUE
24IS,9,2019-10-03T03:15:00Z,2019-10-03T20:15:00Z,,,TRUE
24IS,10,2019-10-03T22:15:00Z,2019-10-05T18:45:00Z,,,TRUE
24IS,11,2019-10-06T03:15:00Z,2019-10-11T21:15:00Z,,,TRUE
24IS,12,2019-10-12T00:15:00Z,2019-10-12T20:45:00Z,,,TRUE
24IS,13,2019-10-12T21:45:00Z,2019-10-13T23:15:00Z,,,TRUE
24IS,14,2019-10-14T02:45:00Z,2019-10-14T16:45:00Z,,,TRUE
24TJ,1,2020-07-30T23:45:00Z,2020-09-12T18:15:00Z,44.974711,6.956946,TRUE
24TJ,2,2020-09-13T04:15:00Z,2020-09-13T06:15:00Z,,,TRUE
24TJ,3,2020-09-13T11:45:00Z,2020-09-13T19:15:00Z,,,TRUE
24TJ,4,2020-09-13T20:45:00Z,2020-09-14T00:15:00Z,,,TRUE
24TJ,5,2020-09-14T03:45:00Z,2020-09-15T02:15:00Z,,,TRUE
24TJ,6,2020-09-15T04:45:00Z,2020-09-16T23:45:00Z,,,TRUE
24TJ,7,2020-09-17T01:15:00Z,2020-09-17T21:15:00Z,,,TRUE
24TJ,8,2020-09-17T22:45:00Z,2020-09-18T02:15:00Z,,,TRUE
