tag_id,stap_id,type,lat,lon,ind,j,interp,known
24IS,10,most_likely,17.375,3.625,15959,1,,FALSE
24IS,11,most_likely,14.375,3.375,15787,1,,FALSE
24IS,12,most_likely,13.125,3.875,16160,1,,FALSE
24IS,13,most_likely,13.625,3.375,15790,1,,FALSE
24IS,14,most_likely,12.125,3.875,16164,1,,FALSE
24TJ,1,most_likely,44.974711,6.956946,18241,1,,TRUE
24TJ,2,most_likely,39.375,8.625,19551,1,,FALSE
24TJ,3,most_likely,37.125,6.375,17904,1,,FALSE
24TJ,4,most_likely,36.375,6.375,17907,1,,FALSE
24TJ,5,most_likely,35.125,5.125,16992,1,,FALSE
24TJ,6,most_likely,35.625,3.875,16070,1,,FALSE
24TJ,7,most_likely,35.625,4.875,16806,1,,FALSE
24TJ,8,most_likely,35.375,5.875,17543,1,,FALSE
24TJ,9,most_likely,35.125,6.875,18280,1,,FALSE
24TJ,10,most_likely,34.875,5.875,17545,1,,FALSE
24TJ,11,most_likely,35.125,5.125,16992,1,,FALSE
24TJ,12,most_likely,30.125,0.625,13700,1,,FALSE
24TJ,13,most_likely,24.625,2.375,15010,1,,FALSE
24TJ,14,most_likely,19.625,0.875,13926,1,,FALSE
24TJ,15,most_likely,16.875,1.875,14673,1,,FALSE
24TJ,16,most_likely,15.375,1.625,14495,1,,FALSE
24TJ,17,most_likely,14.875,2.625,15233,1,,FALSE
24TJ,18,most_likely,14.375,3.625,15971,1,,FALSE
24TJ,19,most_likely,13.875,4.625,16709,1,,FALSE
24TJ,20,most_likely,18.125,5.875,17612,1,,FALSE
24TJ,21,most_likely,22.625,6.375,17962,1,,FALSE
24TJ,22,most_likely,25.875,3.125,15557,1,,FALSE
24TJ,23,most_likely,27.375,3.875,16103,1,,FALSE
24TJ,24,most_likely,32.125,2.875,15348,1,,FALSE
24TJ,25,most_likely,33.875,2.875,15341,1,,FALSE
24TJ,26,most_likely,34.625,3.375,15706,1,,FALSE
24TJ,27,most_likely,43.625,6.625,18062,1,,FALSE
24TJ,28,most_likely,43.125,5.875,17512,1,,FALSE
24TJ,29,most_likely,43.625,4.625,16590,1,,FALSE
24TJ,30,most_likely,44.375,4.375,16403,1,,FALSE
24TJ,31,most_likely,44.974711,6.956946,18241,1,,TRUE
26HS,1,most_likely,46.553613,8.711702,19522,1,,TRUE
26HS,2,most_likely,44.625,7.125,18426,1,,FALSE
26HS,3,most_likely,40.625,9.875,20466,1,,FALSE
26HS,4,most_likely,40.625,9.125,19914,1,,FALSE
26HS,5,most_likely,42.125,8.875,19724,1,,FALSE
26HS,6,most_likely,40.875,9.625,20281,1,,FALSE
26HS,7,most_likely,39.875,9.375,20101,1,,FALSE
26HS,8,most_likely,37.375,9.625,20295,1,,FALSE
26HS,9,most_likely,36.875,8.875,19745,1,,FALSE
26HS,10,most_likely,34.375,7.875,19019,1,,FALSE
26HS,11,most_likely,34.875,8.875,19753,1,,FALSE
26HS,12,most_likely,35.875,9.125,19933,1,,FALSE
26HS,13,most_likely,30.375,5.125,17011,1,,FALSE
26HS,14,most_likely,24.875,3.625,15929,1,,FALSE
26HS,15,most_likely,18.875,2.375,15033,1,,FALSE
26HS,16,most_likely,11.625,3.375,15798,1,,FALSE
26HS,17,most_likely,14.125,1.875,14684,1,,FALSE
26HS,18,most_likely,19.375,0.875,13927,1,,FALSE
26HS,19,most_likely,24.125,2.875,15380,1,,FALSE
26HS,20,most_likely,30.125,5.875,17564,1,,FALSE
26HS,21,most_likely,34.875,7.625,18833,1,,FALSE
26HS,22,most_likely,37.875,13.125,22869,1,,FALSE
26HS,23,most_likely,42.375,9.125,19907,1,,FALSE
26HS,24,most_likely,44.375,10.375,20819,1,,FALSE
26HS,25,most_likely,44.875,9.125,19897,1,,FALSE
26HS,26,most_likely,46.875,9.375,20073,1,,FALSE
26HS,27,most_likely,46.625,11.875,21914,1,,FALSE
26HS,28,most_likely,46.625,10.625,20994,1,,FALSE
26HS,29,most_likely,47.625,10.375,20806,1,,FALSE
26HS,30,most_likely,46.875,10.375,20809,1,,FALSE
26HS,31,most_likely,46.375,9.625,20259,1,,FALSE
26HS,32,most_likely,46.553613,8.711702,19522,1,,TRUE
26IL,1,most_likely,46.549204,8.70603,19522,1,,TRUE
26IL,2,most_likely,45.375,7.375,18607,1,,FALSE
26IL,3,most_likely,44.125,7.375,18612,1,,FALSE
26IL,4,most_likely,36.875,6.625,18089,1,,FALSE
26IL,5,most_likely,35.875,5.625,17357,1,,FALSE
26IL,6,most_likely,31.375,4.125,16271,1,,FALSE
26IL,7,most_likely,27.625,1.625,14446,1,,FALSE
26IL,8,most_likely,22.875,0.625,13729,1,,FALSE
26IL,9,most_likely,20.375,-0.125,13187,1,,FALSE
26IL,10,most_likely,18.875,-1.125,12457,1,,FALSE
26IL,11,most_likely,18.125,-2.125,11724,1,,FALSE
26IL,12,most_likely,17.375,-1.625,12095,1,,FALSE
26IL,13,most_likely,16.875,-2.125,11729,1,,FALSE
26IL,14,most_likely,19.625,-0.125,13190,1,,FALSE
26IL,15,most_likely,19.875,3.875,16133,1,,FALSE
26IL,16,most_likely,19.625,1.125,14110,1,,FALSE
26IL,17,most_likely,17.375,-1.125,12463,1,,FALSE
