"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,4.5,45.1268383045275,7.69935739649092,47.5980709956692,8.92498954022436,7.30605397896288,1.87422159437088,214.191319480511,40.1624529310096,2611.02252007976,4387.71982384305,3423.81207591493,3346.23464307864
"2",2,3,2,35.1319994711457,16.9446396459636,35.4912498316096,16.7067459425666,4.66164803524974,1.96288176303841,70.9824996632191,33.4134918851333,2401.30534751696,3460.99591527669,3018.07169351755,3144.44152380011
"3",3,4,6,94.2069090683399,4.9263417335845,99.6858236809158,4.7579997943958,15.7744680934085,1.61325377958337,598.114942085495,28.5479987663748,222.782189845078,3763.23137085875,1941.39088753831,1584.43654483351
"4",4,5,3.5,85.1833697393702,9.87589839206833,100.532826348001,9.59720437339986,17.6445663051599,1.07024663422167,351.864892218003,33.5902153068995,62.3988587713803,1681.22516978932,1065.90774326116,1066.21952292825
"5",5,6,12,37.3417445377288,10.7313898296162,65.0157147155328,9.04785422364835,41.1849745834973,2.33530283630644,780.188576586394,108.57425068378,230.539344002079,2421.54644546542,845.729291963784,756.083855299297
"6",6,7,12,51.2207874881089,19.8931618631901,61.8544523315382,19.7407628355471,13.8669490417418,2.98037192798583,742.253427978458,236.889154026565,311.164170939727,2894.32261958127,1223.6625387351,770.207723973474
"7",7,8,11.5,53.4241712887858,19.4470174574321,45.3357722329308,18.7077805497911,14.0380867556035,4.13838441963046,521.361380678705,215.139476322598,408.446255510368,4530.10826329603,2311.90550234736,1993.08017820074
"8",8,9,6,31.8055671203457,15.7777794020072,42.9668176284466,18.7655322103086,21.0138850806185,3.35627717942607,257.800905770679,112.593193261852,403.090123823446,3832.00671890637,1603.13869255899,1420.31530375406
"9",9,10,4.5,34.156554177682,14.7891108319361,52.3574757014056,18.6748581179296,25.9278443061928,4.67564228696546,235.608640656325,84.0368615306833,295.820280199546,1010.2603928278,776.183843960603,910.892030297065
"10",10,11,3,31.6236042265937,16.6253511461137,30.0040282937764,17.1677220136582,19.1042290031007,1.91642074002398,90.0120848813293,51.5031660409747,244.804951011647,2275.37521353621,1263.65653982804,1161.14497381482
"11",11,12,2,53.6786831438106,18.0066166159116,45.69394211284,21.8546955321725,26.5909640605972,1.61421295247043,91.3878842256801,43.709391064345,243.391754176712,1581.37026778512,692.519920986765,404.881167659092
"12",12,13,1.5,38.0868434552675,17.1997752452999,39.1329851757382,18.1287441808601,4.07331273836126,2.26565389445535,58.6994777636073,27.1931162712901,242.622454823011,1614.14798133529,803.275239857668,678.165261636185
"13",13,14,1,33.498981580528,15.0852941549734,42.2225931151074,21.6918639191521,27.6211955117167,0.893331463425468,42.2225931151074,21.6918639191521,248.204658564756,249.092437664084,248.500584931199,248.204658564756
"14",14,15,8.5,32.2371439119919,11.2021160368865,31.3034204478351,10.3903110485317,16.6250831247406,4.57006702839723,266.079073806598,88.3176439125196,237.841267102786,2429.86380157193,1660.58458529907,1845.8966844098
"15",15,16,10,28.1460943862466,12.5093220092445,44.3817169268722,19.0737588310836,45.3452132570951,6.00742079670949,443.817169268722,190.737588310836,384.208348772795,5147.89067968765,3446.12913532668,3306.62131572282
"16",16,17,6.5,30.5045273160899,12.6339502875828,32.0625316480875,18.0706098745882,25.3106318218826,3.4697304093569,208.406455712569,117.458964184823,566.862398424749,1024.16565726355,742.674698218049,711.014147898092
"17",17,18,7.5,38.3270113455868,15.0951119027398,60.0575003601106,16.3549169329175,33.2689718481732,3.66666017045282,450.431252700829,122.661876996881,299.451560243755,825.489869485097,620.941618627661,618.41952181831
"18",18,19,2.5,31.5525968610489,14.2115860403225,35.3498119183307,16.7229782935097,14.9719022885155,2.43625427235536,88.3745297958266,41.8074457337742,266.807201709315,1557.31626535285,864.450545052717,758.715489505195
