"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,3,37.0888510521196,15.4845311736,36.4402670856293,15.3862087686137,7.11851465425772,0.757299528183163,109.320801256888,46.158626305841,2038.85794849145,4249.69787090181,3540.30498432738,4064.52228509279
"2",2,3,4,37.5805885904114,13.1425566165154,31.270404668713,12.9534963393116,11.4609330780547,0.930269870631357,125.081618674852,51.8139853572464,2099.89492042472,3885.54874111906,3176.53802624192,3022.01776048217
"3",3,4,0.5,32.8501133713463,18.9489351641661,31.9280319635772,24.6708239607755,10.7574294843739,2.57197415698454,15.9640159817886,12.3354119803877,2579.22290229588,2881.61713674797,2730.42001952193,2730.42001952193
"4",4,5,2.5,34.3353993407103,16.5929902928542,39.0488281739787,15.5595964184999,15.4247817316122,5.68132206024165,97.6220704349467,38.8989910462499,914.86576952118,2508.76624903416,1724.13036920676,1815.29727352029
"5",5,6,1,36.0996150542124,16.3773505285436,39.1368965816146,19.2253185249471,15.149421083281,11.4244918849335,39.1368965816146,19.2253185249471,518.292708012199,1412.81029129826,952.253592769007,925.657778996565
"6",6,7,2.5,42.3288332126614,18.5821418392903,38.8281827020784,17.1082837522019,6.20700502055096,3.34879094611553,97.0704567551959,42.7707093805048,315.833117769797,899.073335047181,538.377371279246,506.713735446616
"7",7,8,0.5,30.8671566153371,23.2898032176725,29.9677798976649,25.062446120893,3.85736104824934,2.93425934403039,14.9838899488324,12.5312230604465,233.268547516824,457.704613254281,345.486580385552,345.486580385552
"8",8,9,13.5,37.8752138396528,6.73726010405152,65.5679710646881,5.20943928594833,33.6257734281293,2.7703385770258,885.16760937329,70.3274303603024,70.4824877175306,1476.0783266959,743.451226285804,759.061219345626
"9",9,10,2,33.9326717801938,15.74666577949,35.3150983585965,16.2885154818285,7.0340179607686,3.50319063034341,70.630196717193,32.577030963657,-93.8483606650921,1189.02466626748,353.482687850488,317.521224396192
"10",10,11,2.5,32.8237653610856,15.8052315235574,34.2442764362443,17.7830135281116,6.66508966262778,3.95583706548523,85.6106910906109,44.457533820279,813.647829798854,1497.18297100887,1171.82461250941,1186.90803074948
"11",11,12,1,34.6442791926633,14.7516126051491,34.7187863296241,15.039239098373,6.53593833916544,1.87871855393857,34.7187863296241,15.039239098373,489.270373383894,668.021207803225,602.091536397921,648.983028006643
"12",12,13,1.5,31.4795233285577,14.6241068268709,30.8221259434622,16.0882854299237,6.56925362658641,2.02334941856656,46.2331889151933,24.1324281448855,368.634007351978,1133.91444925273,650.326486907907,549.37874551346
"13",13,14,1,35.6803445871967,17.0956155211861,32.9950984670532,17.1439201420732,5.66865879285273,2.27421012447318,32.9950984670532,17.1439201420732,603.099920451757,1475.36795613107,1114.61417413586,1265.37464582474
"14",14,15,10.5,60.5856279407388,12.4356208271889,63.8179819743325,13.5727369525869,7.81988110149278,2.66132781362859,670.088810730491,142.513738002162,411.415385401652,3525.17621396335,2719.36517566039,3125.86062547433
"15",15,16,11.5,37.8374119400483,11.1730252091819,34.152537964681,14.3110663459304,9.60779912028522,10.6555007866226,392.754186593831,164.5772629782,226.61580591267,1599.66615178485,789.731042233192,660.553655000739
"16",16,17,11.5,42.6069625608467,16.2221270648009,53.6066559954867,18.2797009043738,17.4720609347649,5.53652632611684,616.476543948096,210.216560400299,197.522655539981,2235.89447488562,1045.32443514577,907.446813498701
"17",17,18,10,38.9196563215436,18.3794349536052,51.711767742257,17.8697620506507,19.0115913440134,5.91246722515671,517.117677422571,178.697620506507,395.293397966717,3467.00791914997,1823.45291273521,1520.86234271626
"18",18,19,8,29.6189165654043,15.6713030530112,35.896844896571,22.7249718122292,17.8741721435659,7.4241545685721,287.174759172568,181.799774497833,286.582052245489,1636.49864960541,692.500612006198,503.891835045891
"19",19,20,1,32.5262246637445,14.5455427139581,35.1445197779218,18.5333164931689,18.7599587232159,2.97706645936859,35.1445197779218,18.5333164931689,246.696837200655,813.624835700284,436.657826231953,249.65180579492
"20",20,21,2,35.5260661751632,17.7728282801225,33.8605464124895,18.4592835680527,17.4150972357633,3.9381675490096,67.7210928249791,36.9185671361053,267.347482066681,490.270365487575,363.124233819088,296.90885045967
