"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,9.5,68.5056698851077,11.2112775871826,73.9311319461575,14.0490613586275,18.5099334836438,1.26337648795388,702.345753488496,133.466082906961,227.201721652787,3866.10261823766,2234.62235382434,2356.26415802031
"2",2,3,5,57.6815146677049,19.1489883216741,75.6620029846451,25.3967510249205,25.6668275508415,2.57222419526846,378.310014923225,126.983755124603,228.177472678939,4599.9192721917,2869.32689657504,3322.20989458486
"3",3,4,1,33.4041829176379,14.8742285409813,37.0956060144431,19.1403692855249,16.9102998273191,3.65495356817068,37.0956060144431,19.1403692855249,597.575938065794,2461.15829367051,1445.28557562184,1277.12249512922
"4",4,5,3,36.8166049890596,15.7011647905392,41.6310507561847,15.9722142909285,9.31022947494731,4.87737302576658,124.893152268554,47.9166428727855,597.171592348763,2083.31895987149,1026.6796547266,862.499960929178
"5",5,6,2,29.1188885680892,14.4145291140758,29.8435970543763,15.693011807107,9.33999315234919,3.98151352330467,59.6871941087525,31.3860236142141,463.034760575432,723.682856814864,583.531842973625,605.206484528439
"6",6,7,1,30.4621255416274,15.3649655786693,33.7682224508186,22.4386855654895,22.5676750100886,8.0399128759849,33.7682224508186,22.4386855654895,486.599100311674,1812.93373765841,1039.01591595923,817.514909907609
"7",7,8,1,31.3367084329897,15.9887376078109,30.8433822875396,17.4906230396104,7.86223244011224,2.64548209273192,30.8433822875396,17.4906230396104,335.41378337107,1097.87585429103,604.580345732373,380.451399535023
"8",8,9,1,34.3508731469304,14.0582932741272,34.0897583947671,15.474315964955,10.3413215857856,2.90346270835413,34.0897583947671,15.474315964955,672.190373389738,721.251388993643,697.767704754364,699.861351879711
"9",9,10,1,33.8362757524112,16.5248772631947,34.423403989993,17.6996224956014,11.6837182687522,3.72577584225191,34.423403989993,17.6996224956014,837.472541933437,1251.94221883281,985.678414178607,867.62048176958
"10",10,11,1,30.6268611049693,14.6883378917823,30.9492014011763,16.4446042653822,7.33541673065557,1.99994003869012,30.9492014011763,16.4446042653822,460.924093464838,699.393405299465,570.795818495573,552.069956722417
"11",11,12,12,46.5107127394889,16.5315200990696,63.8388478823117,20.2708589309385,23.5849019704336,5.06016495982561,766.066174587741,243.250307171263,321.002527969516,1690.90100498114,767.904762891523,580.574897784591
"12",12,13,11.5,46.4448831126829,19.1917186064005,54.4770058493719,21.8155535930511,21.680682671732,3.16004942264151,626.485567267777,250.878866320088,371.464143894734,3112.55769703759,1698.03366845623,1366.81636390541
"13",13,14,12,62.9240361872354,23.3653468216743,57.8846632760953,25.466868135842,14.7105007768602,3.45620103467687,694.615959313144,305.602417630104,342.623099136557,2813.52745191899,1612.47248504844,1557.77996608529
"14",14,15,6.5,38.1566533867741,17.1822647022693,35.3135807726362,15.906911674921,6.59196508237333,3.36699195098607,229.538275022135,103.394925886986,374.798492678502,3278.16491414982,1624.16634988027,1245.65921993596
"15",15,16,2.5,43.9310065856359,18.7238835843579,54.3958939832749,21.812719473873,16.9632196310312,10.8980397523047,135.989734958187,54.5317986846826,362.658439519694,942.136387181174,723.396900537108,833.88301740887
"16",16,17,1.5,71.9861315038761,17.2400366129488,62.1537279961804,18.0588698648659,11.8459676009952,3.63038239746554,93.2305919942705,27.0883047972988,368.253773655632,1517.98269107673,942.813575309782,942.508918253381
"17",17,18,1.5,73.8219559507067,17.4113319703318,72.2817339186235,17.8408985737026,6.31652610421505,1.503065860828,108.422600877935,26.7613478605539,253.683268803001,2209.68229786906,1467.19752520842,1702.71226708081
"18",18,19,1.5,46.1756364335546,18.0982619752733,54.2634767932926,17.9119054955217,9.60914147581083,0.45172631506939,81.3952151899389,26.8678582432826,244.517854417187,1053.17746561688,454.564712873242,260.281765729452
"19",19,20,10,36.2176416473335,12.935731083295,39.5960901503383,13.8119907166372,6.31568298593795,1.10979889056328,395.960901503383,138.119907166372,923.90531820053,2692.88381826359,2026.4852228756,2002.65509357006
"20",20,21,11,59.3736936479131,17.48661027964,70.1718251371713,19.3134156734869,14.0207678107177,3.38898828827823,771.890076508885,212.447572408356,877.015801344194,3611.44297697831,2398.67628929353,2603.12870936697
"21",21,22,10,64.6620643874874,11.6321019873456,72.4272724936407,15.8389816653809,33.4131665108294,3.0504128007925,724.272724936407,158.389816653809,1813.75866156534,4306.06211831911,3312.83112620597,3511.58491214486
"22",22,23,3,38.6251354080383,15.2051744227477,37.9709100354398,17.5501058643169,27.6571989790104,7.65126347631149,113.912730106319,52.6503175929507,364.361207344323,2681.5796171604,1797.19696241706,2119.10966354692
"23",23,24,10,52.9249811435455,8.89662812146856,65.639036761768,7.34087869638313,24.380915826082,5.52385061791385,656.39036761768,73.4087869638312,447.092598940383,2513.92877715399,1445.31389640891,1342.31348965813
"24",24,25,2.5,33.48073490464,15.7190809588723,53.8756787370083,17.168186078119,31.651796181711,3.10103353773332,134.689196842521,42.9204651952975,637.331852051507,2058.22803230997,1297.01062294153,1289.80831690206
"25",25,26,1.5,29.601397016414,14.0366309658164,28.8338889692457,18.1230659822757,18.5743249000181,1.84973596446261,43.2508334538686,27.1845989734136,1462.68739450018,2515.17372970004,1891.15197974137,1793.37339738263
"26",26,27,19.5,42.573028247314,2.09863917016158,47.6005496316775,3.57475969044824,25.9482924383716,2.85055021207158,928.210717817711,69.7078139637407,82.8755231503584,4171.89048327997,1463.45445887353,354.602810945133
"27",27,28,1,41.8352020079796,20.7937791192909,43.0571721548058,22.0703638572009,10.4929489091714,6.71431072322537,43.0571721548058,22.0703638572009,49.6274240989487,600.480551624295,390.288824688126,520.758498341134
"28",28,29,1.5,56.481398855097,15.8400729772345,59.5873415039407,15.6010335975025,4.28249751389236,1.38620987412659,89.3810122559111,23.4015503962537,236.826947311209,750.839378162485,441.592526467571,389.351890198295
"29",29,30,1,34.9956610920863,16.5409559523549,29.80588437062,16.8064359554201,20.3365539442187,5.97333119500007,29.80588437062,16.8064359554201,-4.65014966363702,561.079550911441,210.908116832358,76.2949492492692
"30",30,31,5.5,67.9971784854911,9.30835697303622,73.2329224714839,10.54180861483,5.78857427834625,1.99480782362692,402.781073593162,57.9799473815652,1012.13574630292,2374.1139010069,1776.14564984415,1806.17945893708
